Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.17  released 1-13-2006 

Program file: Z:\POISSONSUPERFISH\SF7.EXE
SF.INI file: Z:\tmp\psf\e9be9084-f82c-4f01-8db9-825e5981f989\SF.INI 11-05-2020   2:53:34
Solution file Z:\TMP\PSF\E9BE9084-F82C-4F01-8DB9-825E5981F989\SWIFEL_7.000_9.170_36.000_5.531_9.819_30.000_2.000_5469.T35.
Memory used for SWIFEL_7.000_9.170_36.000_5.531_9.819_30.000_2.000_5469.T35 arrays:       8.857 M
Reading keyword commands and data from file:
SWIFEL_7.000_9.170_36.000_5.531_9.819_30.000_2.000_5469.IN7

Electromagnetic fields for a rectangular area with corners at:
(Zmin,Rmin) = (50,0.0)
(Zmax,Rmax) = (70,3)
Z and R increments:    99    19
EZERO computed by SFO =    0.79521E+07 MV/m
Interpolated fields normalized to E0 =    0.79521E+07 MV/m

      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
   50.8081      0.157895      2.963127E+01  1.124372E-01  2.963148E+01  2.286554E+02
   51.0101      0.157895      2.932416E+01  1.259440E-01  2.932443E+01  2.262928E+02
   51.2121      0.157895      2.898862E+01  1.350575E-01  2.898893E+01  2.237090E+02
   51.4141      0.157895      2.863438E+01  1.408811E-01  2.863473E+01  2.209794E+02
   51.6162      0.157895      2.826864E+01  1.442975E-01  2.826901E+01  2.181599E+02
   51.8182      0.157895      2.789663E+01  1.459982E-01  2.789701E+01  2.152910E+02
   52.0202      0.157895      2.752205E+01  1.463573E-01  2.752244E+01  2.124011E+02
   52.2222      0.157895      2.714769E+01  1.459979E-01  2.714808E+01  2.095136E+02
   52.4242      0.157895      2.677498E+01  1.451523E-01  2.677537E+01  2.066379E+02
   52.6263      0.157895      2.640491E+01  1.440459E-01  2.640530E+01  2.037820E+02
   52.8283      0.157895      2.603779E+01  1.430122E-01  2.603818E+01  2.009482E+02
   53.0303      0.157895      2.567370E+01  1.415683E-01  2.567409E+01  1.981349E+02
   53.2323      0.157895      2.531249E+01  1.411333E-01  2.531289E+01  1.953491E+02
   53.4343      0.157895      2.495106E+01  1.416005E-01  2.495146E+01  1.925596E+02
   53.6364      0.157895      2.458788E+01  1.427803E-01  2.458830E+01  1.897552E+02
   53.8384      0.157895      2.422067E+01  1.450559E-01  2.422111E+01  1.869197E+02
   54.0404      0.157895      2.384598E+01  1.488354E-01  2.384644E+01  1.840250E+02
   54.2424      0.157895      2.345940E+01  1.545932E-01  2.345991E+01  1.810380E+02
   54.4444      0.157895      2.305554E+01  1.627711E-01  2.305611E+01  1.779182E+02
   54.6465      0.157895      2.262726E+01  1.739804E-01  2.262793E+01  1.746070E+02
   54.8485      0.157895      2.216600E+01  1.889503E-01  2.216680E+01  1.710405E+02
   55.0505      0.157895      2.166167E+01  2.082673E-01  2.166267E+01  1.671429E+02
   55.2525      0.157895      2.110161E+01  2.327863E-01  2.110289E+01  1.628108E+02
   55.4545      0.157895      2.047173E+01  2.632230E-01  2.047342E+01  1.579390E+02
   55.6566      0.157895      1.975639E+01  2.997011E-01  1.975866E+01  1.524072E+02
   55.8586      0.157895      1.893951E+01  3.425139E-01  1.894261E+01  1.460950E+02
   56.0606      0.157895      1.800516E+01  3.907780E-01  1.800940E+01  1.388741E+02
   56.2626      0.157895      1.694086E+01  4.424259E-01  1.694664E+01  1.306563E+02
   56.4646      0.157895      1.574097E+01  4.941879E-01  1.574873E+01  1.213965E+02
   56.6667      0.157895      1.441152E+01  5.403679E-01  1.442165E+01  1.111409E+02
   56.8687      0.157895      1.295874E+01  5.617456E-01  1.297091E+01  9.992072E+01
